iter	Passed	Remaining
0	42	2096
1	83	2005
2	123	1937
3	166	1918
4	218	1964
5	282	2071
6	367	2254
7	428	2251
8	475	2167
9	534	2136
10	588	2087
11	627	1986
12	670	1909
13	719	1849
14	764	1784
15	832	1769
16	887	1723
17	923	1642
18	956	1560
19	992	1489
20	1046	1444
21	1108	1411
22	1152	1352
23	1185	1284
24	1220	1220
25	1262	1164
26	1300	1107
27	1351	1062
28	1392	1008
29	1429	952
30	1462	896
31	1498	843
32	1533	789
33	1587	747
34	1622	695
35	1653	643
36	1690	594
37	1724	544
38	1756	495
39	1792	448
40	1847	405
41	1894	360
42	1946	316
43	1982	270
44	2025	225
45	2070	180
46	2111	134
47	2152	89
48	2196	44
49	2242	0
